Steps,Return_1k,Return_10k,Label,Gamma
105862,993.9429033479166,9932.252776700252,TRPO_gamma_0.9,0.9
201081,999.7948020328538,9919.995399677955,TRPO_gamma_0.9,0.9
306902,987.6821582060405,9879.6947584623,TRPO_gamma_0.9,0.9
401648,952.4674474011605,9633.907935073552,TRPO_gamma_0.9,0.9
500115,943.7466572861333,9458.728221224905,TRPO_gamma_0.9,0.9
604875,997.6519781313467,9538.3202961005,TRPO_gamma_0.9,0.9
700704,992.6749094065204,9506.446862669352,TRPO_gamma_0.9,0.9
804799,1025.449890531787,9740.13656116652,TRPO_gamma_0.9,0.9
900710,1159.5583087422358,10773.220343955612,TRPO_gamma_0.9,0.9
1003523,1261.4598755043403,12480.9319319228,TRPO_gamma_0.9,0.9
1101579,1544.6470185636626,10564.248926758808,TRPO_gamma_0.9,0.9
1205897,1761.117459300678,12903.724288557774,TRPO_gamma_0.9,0.9
1301510,1592.0847510515314,11322.170330975074,TRPO_gamma_0.9,0.9
1401104,1480.4831026486972,10845.152768409513,TRPO_gamma_0.9,0.9
1506199,1608.7960302048275,10311.459923836914,TRPO_gamma_0.9,0.9
1603022,2239.847957792748,10481.514357597007,TRPO_gamma_0.9,0.9
1705042,2069.0211489910766,10305.021261826974,TRPO_gamma_0.9,0.9
1806467,2379.7630591015486,10555.179130573208,TRPO_gamma_0.9,0.9
1903376,2295.9626761934924,10920.003692678962,TRPO_gamma_0.9,0.9
2000393,2033.8594703840233,10253.292803511495,TRPO_gamma_0.9,0.9
2107575,2113.9630564495524,11198.403169694615,TRPO_gamma_0.9,0.9
2204448,1994.9159462664422,10981.463372326925,TRPO_gamma_0.9,0.9
2301754,1966.7211401816498,10555.726254781795,TRPO_gamma_0.9,0.9
2408387,1945.2129969801736,10297.108438335685,TRPO_gamma_0.9,0.9
2506592,2099.022493459632,11007.014135775396,TRPO_gamma_0.9,0.9
2606415,2346.6063143657034,10378.441199574285,TRPO_gamma_0.9,0.9
2701978,2219.1651432888198,11097.674324578615,TRPO_gamma_0.9,0.9
2804472,2046.2889628400553,10477.546942269426,TRPO_gamma_0.9,0.9
2903441,2157.137119732457,11111.012217592817,TRPO_gamma_0.9,0.9
3000288,2398.8587651741254,10873.309197506618,TRPO_gamma_0.9,0.9
3106523,2413.024721414341,10563.902781528659,TRPO_gamma_0.9,0.9
3201590,1684.5406861558918,10631.372303685786,TRPO_gamma_0.9,0.9
3300899,1925.3931096481033,10895.149152817095,TRPO_gamma_0.9,0.9
3402728,1604.196151962269,10766.175004308086,TRPO_gamma_0.9,0.9
3501839,2100.3439787237826,10665.776050641558,TRPO_gamma_0.9,0.9
3608352,2096.8098005618112,10573.904642228152,TRPO_gamma_0.9,0.9
3705274,1943.1632391376115,11083.576359304347,TRPO_gamma_0.9,0.9
3803617,2000.2163753631944,10741.567390255292,TRPO_gamma_0.9,0.9
3901993,2104.263021355798,11833.952020168203,TRPO_gamma_0.9,0.9
4007123,2078.136103745199,11584.453161831076,TRPO_gamma_0.9,0.9
4103631,2291.6491031992778,11410.00980807036,TRPO_gamma_0.9,0.9
4207360,2136.3035327669704,10859.18439370089,TRPO_gamma_0.9,0.9
4304877,1986.6487285748342,10773.422896525428,TRPO_gamma_0.9,0.9
