Steps,Return_1k,Return_10k,Label,Gamma
104000,-4.403326800350625,518.8025307161331,TRPO_gamma_0.9,0.9
200000,-59.824116444816624,-597.1453773741574,TRPO_gamma_0.9,0.9
304000,8.959665331583277,-803.2056086247336,TRPO_gamma_0.9,0.9
400000,230.2428163890798,-956.290449876539,TRPO_gamma_0.9,0.9
504000,1087.6077594747933,10728.05738427547,TRPO_gamma_0.9,0.9
600000,1126.2521918081984,11282.463876730568,TRPO_gamma_0.9,0.9
704000,1162.5833812345047,11650.392153198529,TRPO_gamma_0.9,0.9
800000,1183.7686898750833,12021.462178845904,TRPO_gamma_0.9,0.9
904000,1202.7930242017712,12358.938705764167,TRPO_gamma_0.9,0.9
1000000,1233.4490638813754,11210.43063847332,TRPO_gamma_0.9,0.9
1104000,1261.261872481121,12878.894829502105,TRPO_gamma_0.9,0.9
1200000,1270.4865515640981,13029.898805487408,TRPO_gamma_0.9,0.9
1304000,1280.613914408426,13191.026342936075,TRPO_gamma_0.9,0.9
1400000,1278.8184766372492,13432.436288902642,TRPO_gamma_0.9,0.9
1504000,1329.0142909233812,13644.53271585287,TRPO_gamma_0.9,0.9
1600000,1352.2430094428096,13886.364517763845,TRPO_gamma_0.9,0.9
1704000,1380.3773606504215,14112.164053428583,TRPO_gamma_0.9,0.9
1800000,1399.8302345989848,14247.778106044096,TRPO_gamma_0.9,0.9
1904000,1392.1235273044551,14394.016880374058,TRPO_gamma_0.9,0.9
2000000,1402.3343352023353,14417.605340288655,TRPO_gamma_0.9,0.9
2104000,1438.6896768290844,14595.571536799034,TRPO_gamma_0.9,0.9
2200000,1419.3054867316048,14575.849905369181,TRPO_gamma_0.9,0.9
2304000,1434.8838400945472,14822.400839116672,TRPO_gamma_0.9,0.9
2400000,1470.8126565427744,15003.444287639873,TRPO_gamma_0.9,0.9
2504000,1482.220091235405,15226.721196342722,TRPO_gamma_0.9,0.9
2600000,1505.8696469492152,15276.644033116052,TRPO_gamma_0.9,0.9
2704000,1512.2811450203924,15443.987932357739,TRPO_gamma_0.9,0.9
2800000,1496.570469444517,15495.94072940078,TRPO_gamma_0.9,0.9
2904000,1518.680901233726,15578.459525440185,TRPO_gamma_0.9,0.9
3000000,1539.2266718795722,15558.885955048128,TRPO_gamma_0.9,0.9
3104000,1560.3709281762283,15797.940910875895,TRPO_gamma_0.9,0.9
3200000,1545.3675480257375,15831.601685994567,TRPO_gamma_0.9,0.9
3304000,1555.597928283611,15744.630978148683,TRPO_gamma_0.9,0.9
3400000,1535.6055882598835,15796.64594223517,TRPO_gamma_0.9,0.9
3504000,1558.41227048897,16053.108097654305,TRPO_gamma_0.9,0.9
3600000,1584.7315301934348,16101.900631793678,TRPO_gamma_0.9,0.9
3704000,1579.1554252384544,16234.927120008646,TRPO_gamma_0.9,0.9
3800000,1591.0179819352131,16049.923579893331,TRPO_gamma_0.9,0.9
3904000,1595.0182364413415,16192.62255750546,TRPO_gamma_0.9,0.9
4000000,1614.1645295287444,16261.676647391476,TRPO_gamma_0.9,0.9
4104000,1587.844105752762,16376.810686784587,TRPO_gamma_0.9,0.9
4200000,1608.1136262238128,16412.73568327855,TRPO_gamma_0.9,0.9
4304000,1610.8389395896588,16406.837925886466,TRPO_gamma_0.9,0.9
4400000,1598.0642771277119,16409.635093597117,TRPO_gamma_0.9,0.9
