Steps,Return_1k,Return_10k,Label,Gamma
120000,377.7154801690964,374.8587618866335,ATRPO,0.99
200000,344.60387864476456,342.0332945332169,ATRPO,0.99
320000,279.5278360726491,284.5909447742793,ATRPO,0.99
400000,267.3841932696166,270.7814618180018,ATRPO,0.99
520000,267.01380543464603,256.5427762385427,ATRPO,0.99
600000,261.7292308901509,256.2756524755368,ATRPO,0.99
720000,270.17047297525176,282.6123303108593,ATRPO,0.99
800000,282.3791527635596,280.5659250426446,ATRPO,0.99
920000,294.7827001890955,301.9381169469278,ATRPO,0.99
1000000,304.32685302778907,302.9095878608377,ATRPO,0.99
1120000,329.58915118716806,319.14243401802264,ATRPO,0.99
1200000,323.4560181086674,325.9687641375393,ATRPO,0.99
1320000,326.15615111903554,334.6796527457054,ATRPO,0.99
1400000,334.8477344392372,333.25711768767894,ATRPO,0.99
1520000,345.286273057252,347.9829387509368,ATRPO,0.99
1600000,369.9391535307493,368.3943921674263,ATRPO,0.99
1720000,386.265660662543,388.15521805405155,ATRPO,0.99
1800000,401.6377152012773,398.127950802322,ATRPO,0.99
1920000,413.2622327033747,409.4064881224074,ATRPO,0.99
2000000,416.40471520842465,425.8100961264883,ATRPO,0.99
2120000,423.85919989495704,418.8268855402246,ATRPO,0.99
2200000,427.59908606252804,422.25961854973167,ATRPO,0.99
2320000,414.11640836126026,411.6919086437609,ATRPO,0.99
2400000,428.20433205211555,425.1565241044459,ATRPO,0.99
2520000,450.4806314906353,442.34655828151733,ATRPO,0.99
2600000,467.58457874803037,456.8580765527963,ATRPO,0.99
2720000,594.1039174817182,561.9090382350903,ATRPO,0.99
2800000,587.3295745240416,622.5057371357507,ATRPO,0.99
2920000,686.0303611473441,720.5731634125898,ATRPO,0.99
3000000,684.7742029317409,719.9298473207216,ATRPO,0.99
3120000,677.3256505329148,686.405004178558,ATRPO,0.99
3200000,761.7770174715894,757.4538180505613,ATRPO,0.99
3320000,730.0325999038166,761.6035958395872,ATRPO,0.99
3400000,778.109464388711,751.0620161427444,ATRPO,0.99
3520000,742.5434161047015,750.66412847745,ATRPO,0.99
3600000,771.8460513958471,732.6684926288375,ATRPO,0.99
3720000,752.4609377721611,749.6502500542736,ATRPO,0.99
3800000,788.5589663927373,802.1169455061323,ATRPO,0.99
3920000,810.4241280676265,854.2032949081434,ATRPO,0.99
4000000,941.4611416945467,866.4817677116729,ATRPO,0.99
4120000,1146.7961407202622,1059.3154048204397,ATRPO,0.99
4200000,1208.6436660270708,1109.574254397417,ATRPO,0.99
4320000,1231.3491478889707,1220.7319278191299,ATRPO,0.99
4400000,1549.850698044703,1266.4077699235265,ATRPO,0.99
4520000,1437.8439664229868,1489.1991807440204,ATRPO,0.99
4600000,1456.1043479533807,1357.4823037389274,ATRPO,0.99
4720000,1574.642430321393,1610.0566809138843,ATRPO,0.99
4800000,1345.5679521908762,1282.4347808076798,ATRPO,0.99
4920000,1673.482451640377,1757.6466381498008,ATRPO,0.99
5000000,1691.6050125757515,2274.1918769732088,ATRPO,0.99
5120000,2978.9446201122396,2484.544089392589,ATRPO,0.99
5200000,2654.819366073673,2513.667637781423,ATRPO,0.99
5320000,3062.19961483785,3588.1148635447557,ATRPO,0.99
5400000,3099.588539915444,4241.273808791011,ATRPO,0.99
5520000,4018.4817199329873,4064.5686015643346,ATRPO,0.99
5600000,5302.645213437827,4821.037040950817,ATRPO,0.99
5720000,4395.540999788564,4356.321720913414,ATRPO,0.99
5800000,5036.5859196267875,4757.874231610082,ATRPO,0.99
