Epoch 0, Mean Reward: 91.35
Epoch 1, Mean Reward: 96.56
Epoch 2, Mean Reward: 92.87
Epoch 3, Mean Reward: 98.80
Epoch 4, Mean Reward: 96.95
Epoch 5, Mean Reward: 99.50
Epoch 6, Mean Reward: 102.17
Epoch 7, Mean Reward: 105.35
Epoch 8, Mean Reward: 101.48
Epoch 9, Mean Reward: 105.18
Epoch 10, Mean Reward: 110.77
Epoch 11, Mean Reward: 110.63
Epoch 12, Mean Reward: 111.70
Epoch 13, Mean Reward: 108.26
Epoch 14, Mean Reward: 118.88
Epoch 15, Mean Reward: 115.02
Epoch 16, Mean Reward: 111.63
Epoch 17, Mean Reward: 127.14
Epoch 18, Mean Reward: 127.80
Epoch 19, Mean Reward: 122.75
Epoch 20, Mean Reward: 121.67
Epoch 21, Mean Reward: 133.93
Epoch 22, Mean Reward: 137.72
Epoch 23, Mean Reward: 135.08
Epoch 24, Mean Reward: 137.38
Epoch 25, Mean Reward: 143.08
Epoch 26, Mean Reward: 148.38
Epoch 27, Mean Reward: 136.03
Epoch 28, Mean Reward: 140.68
Epoch 29, Mean Reward: 151.56
Epoch 30, Mean Reward: 150.36
Epoch 31, Mean Reward: 154.50
Epoch 32, Mean Reward: 161.13
Eval at 103981 samples: 160.09
Epoch 33, Mean Reward: 161.63
Epoch 34, Mean Reward: 152.00
Epoch 35, Mean Reward: 171.38
Epoch 36, Mean Reward: 171.77
Epoch 37, Mean Reward: 158.17
Epoch 38, Mean Reward: 179.98
Epoch 39, Mean Reward: 176.11
Epoch 40, Mean Reward: 178.21
Epoch 41, Mean Reward: 173.01
Epoch 42, Mean Reward: 189.15
Epoch 43, Mean Reward: 183.94
Epoch 44, Mean Reward: 184.83
Epoch 45, Mean Reward: 190.19
Epoch 46, Mean Reward: 181.34
Epoch 47, Mean Reward: 188.41
Epoch 48, Mean Reward: 194.82
Epoch 49, Mean Reward: 196.91
Epoch 50, Mean Reward: 198.63
Epoch 51: Reached 5000 samples, ending early with 5027 samples.
Epoch 51, Mean Reward: 210.72
Epoch 52, Mean Reward: 204.10
Epoch 53, Mean Reward: 204.53
Epoch 54: Reached 5000 samples, ending early with 5015 samples.
Epoch 54, Mean Reward: 210.52
Epoch 55: Reached 5000 samples, ending early with 5013 samples.
Eval at 204081 samples: 242.91
Epoch 55, Mean Reward: 213.14
Epoch 56: Reached 5000 samples, ending early with 5010 samples.
Epoch 56, Mean Reward: 208.23
Epoch 57: Reached 5000 samples, ending early with 5006 samples.
Epoch 57, Mean Reward: 212.84
Epoch 58: Reached 5000 samples, ending early with 5080 samples.
Epoch 58, Mean Reward: 216.99
Epoch 59: Reached 5000 samples, ending early with 5027 samples.
Epoch 59, Mean Reward: 212.74
Epoch 60: Reached 5000 samples, ending early with 5058 samples.
Epoch 60, Mean Reward: 215.14
Epoch 61: Reached 5000 samples, ending early with 5035 samples.
Epoch 61, Mean Reward: 233.81
Epoch 62: Reached 5000 samples, ending early with 5006 samples.
Epoch 62, Mean Reward: 231.08
Epoch 63: Reached 5000 samples, ending early with 5045 samples.
Epoch 63, Mean Reward: 227.01
Epoch 64: Reached 5000 samples, ending early with 5056 samples.
